Set	Board	Syllabus Code	Module code	Module Name																		
13HI3	Edexcel GCE	9HI01	9HI01	Certification History A2																		
13HI3	Edexcel GCE	6HI03	6HI03C	History - Unit 3 Option C																		
13HI3	Edexcel GCE	6HI04	6HI04	History - Unit 4																		
13MU1	Edexcel GCE	9MU01	9MU01	Certification Music A2																		
13MU1	Edexcel GCE	6MU04	6MU04	Music - Unit 4 (Extended Performance)																		
13MU1	Edexcel GCE	6MU05	6MU05	Music - Unit 5 (Composition & Technical Study)																		
13MU1	Edexcel GCE	6MU06	6MU06	Music - Unit 6 (Further Musical Understanding)																		
13PE1	AQA	2580	2581	Certification Physical Education A2																		
13PE1	AQA	2580	PHED3	Physical Education - Unit 3																		
13PE1	AQA	2580	PHED4	Physical Education - Unit 4																		
13PH1	AQA	2450	2451	Certification Physics A A2																		
13PH1	AQA	2450	PHYA4	Physics A - Unit 4																		
13PH1	AQA	2450	PHA6T	Physics A - Unit 6																		
13PH2	AQA	2450	2451	Certification Physics A A2																		
13PH2	AQA	2450	PHYA4	Physics A - Unit 4																		
13PH2	AQA	2450	PHA6T	Physics A - Unit 6																		
13PH3	AQA	2450	2451	Certification Physics A A2																		
13PH3	AQA	2450	PHYA4	Physics A - Unit 4																		
13PH3	AQA	2450	PHA6T	Physics A - Unit 6																		
13PH4	AQA	2450	2451	Certification Physics A A2																		
13PH4	AQA	2450	PHYA4	Physics A - Unit 4																		
13PH4	AQA	2450	PHA6T	Physics A - Unit 6																		
13PH5	AQA	2450	2451	Certification Physics A A2																		
13PH5	AQA	2450	PHYA4	Physics A - Unit 4																		
13PH5	AQA	2450	PHA6T	Physics A - Unit 6																		
13PH6	AQA	2450	2451	Certification Physics A A2																		
13PH6	AQA	2450	PHYA4	Physics A - Unit 4																		
13PH6	AQA	2450	PHA6T	Physics A - Unit 6																		
13PO1	Edexcel GCE	9GP01	9GP01	Certification Govt & Politics A2																		
13PO1	Edexcel GCE	6GP03	6GP03C	Govt & Politics - Unit 3 Option C																		
13PO1	Edexcel GCE	6GP04	6GP04C	Govt & Politics - Unit 4 Option C																		
13PO2	Edexcel GCE	9GP01	9GP01	Certification Govt & Politics A2																		
13PO2	Edexcel GCE	6GP03	6GP03C	Govt & Politics - Unit 3 Option C																		
13PO2	Edexcel GCE	6GP04	6GP04C	Govt & Politics - Unit 4 Option C																		
13RS1	OCR	H572	H572	Certification Religious Studies A2																		
